gvkey,fs_month
1472,A-Dec
1473,A-Jun
1474,A-Dec
1476,A-May
1478,A-Dec
1479,A-Dec
1480,A-Jun
1481,A-Dec
1484,A-Mar
1485,A-Dec
1487,A-Dec
1488,A-Feb
1489,A-Dec
1490,A-Jun
1492,A-Dec
1495,A-Feb
1496,A-Dec
1498,A-Dec
1500,A-Dec
1501,A-Dec
1504,A-Dec
1505,A-Jun
1506,A-Dec
1508,A-Dec
1509,A-Jun
1510,A-Dec
1511,A-Aug
1512,A-Dec
1513,A-Jun
1514,A-Jun
1515,A-May
1516,A-Jul
1518,A-Sep
1523,A-Dec
1525,A-May
1526,A-Dec
1527,A-Dec
1528,A-Dec
1529,A-Dec
1531,A-Aug
1532,A-Dec
1533,A-Sep
1534,A-Dec
1535,A-Dec
1536,A-Dec
1537,A-Dec
1538,A-Dec
1539,A-Dec
1540,A-Dec
1542,A-Dec
1543,A-Dec
1544,A-Dec
1546,A-May
1550,A-Dec
1552,A-Dec
1554,A-Mar
1555,A-Dec
1556,A-Dec
1558,A-Jun
1559,A-Dec
1560,A-Sep
1561,A-Dec
1562,A-Apr
1563,A-Feb
1564,A-Jul
1566,A-Nov
1567,A-Dec
1568,A-Dec
1569,A-Oct
1570,A-Dec
1571,A-Dec
1572,A-Mar
1574,A-Oct
1575,A-Dec
1577,A-Jun
1578,A-Mar
1582,A-Jun
1583,A-Jun
1584,A-Dec
1585,A-Dec
1586,A-Dec
1587,A-Dec
1589,A-Dec
1590,A-Dec
1592,A-Dec
1593,A-Nov
1594,A-Jan
1595,A-Dec
1596,A-Dec
1597,A-Dec
1598,A-Dec
1599,A-Dec
1600,A-Jun
1601,A-Sep
1603,A-Dec
1604,A-Dec
1606,A-Dec
1608,A-Dec
1609,A-Dec
1610,A-Nov
1611,A-Dec
1613,A-Dec
1614,A-Apr
1616,A-Dec
1617,A-Dec
1618,A-Apr
1619,A-Dec
1623,A-Sep
1624,A-Apr
1625,A-Dec
1628,A-Dec
1629,A-Dec
1630,A-Oct
1631,A-Jun
